Make,Model,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,MSRP
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,25690
Chrysler,200,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,30900
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,27795
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,21995
Chrysler,200,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4.0,Midsize,Sedan,24490
Nissan,200SX,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000
Nissan,200SX,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000
Nissan,200SX,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000
Nissan,200SX,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000
Nissan,200SX,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2000
Nissan,200SX,regular unleaded,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,2073
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3713
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3520
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3910
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,4182
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,4107
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,4299
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,4693
Nissan,240SX,regular unleaded,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,4107
Volvo,240,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,2000
Volvo,240,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,2000
Volvo,240,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,2000
Volvo,240,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,2000
Volvo,240,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,2000
Volvo,240,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,2000
Volvo,240,regular unleaded,114.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Wagon,2000
Mazda,2,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,16020
Mazda,2,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,14530
Mazda,2,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,16860
Mazda,2,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,15370
Mazda,2,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,17050
Mazda,2,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,15560
Mazda,2,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,16210
Mazda,2,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,14720
Mazda,2,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,17050
Mazda,2,regular unleaded,100.0,4.0,AUTOMATIC,front wheel drive,4.0,Compact,4dr Hatchback,15560
Mazda,2,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,16210
Mazda,2,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,14720
BMW,3 Series Gran Turismo,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,47250
BMW,3 Series Gran Turismo,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,41850
BMW,3 Series Gran Turismo,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,43000
BMW,3 Series Gran Turismo,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,49200
BMW,3 Series Gran Turismo,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,49650
BMW,3 Series Gran Turismo,premium unleaded (required),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,4dr Hatchback,43950
BMW,3 Series,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,41950
BMW,3 Series,premium unleaded (required),335.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,50150
BMW,3 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,37500
BMW,3 Series,premium unleaded (required),300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,43750
BMW,3 Series,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,39000
BMW,3 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,39500
BMW,3 Series,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,34950
BMW,3 Series,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,45750
BMW,3 Series,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,43450
BMW,3 Series,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,41000
BMW,3 Series,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,32950
BMW,3 Series,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,41850
BMW,3 Series,premium unleaded (required),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,47800
BMW,3 Series,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,39850
BMW,3 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,38350
BMW,3 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40350
BMW,3 Series,premium unleaded (required),240.0,4.0,MANUAL,rear wheel drive,4.0,Midsize,Sedan,38350
BMW,3 Series,premium unleaded (required),240.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,42650
BMW,3 Series,premium unleaded (required),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33150
BMW,3 Series,premium unleaded (required),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35150
BMW,3 Series,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,44150
BMW,3 Series,premium unleaded (required),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,45800
BMW,3 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,38750
BMW,3 Series,premium unleaded (recommended),180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,35450
BMW,3 Series,premium unleaded (recommended),180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,33450
BMW,3 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,40750
BMW,3 Series,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,42250
BMW,3 Series,premium unleaded (recommended),248.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,42950
BMW,3 Series,diesel,180.0,4.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,40250
BMW,3 Series,premium unleaded (recommended),320.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,49900
BMW,3 Series,premium unleaded (recommended),320.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,47900
BMW,3 Series,diesel,180.0,4.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,44450
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2232
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,2000
Mercedes-Benz,300-Class,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,2105
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2199
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2124
Mercedes-Benz,300-Class,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3552
Mercedes-Benz,300-Class,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,2179
Mercedes-Benz,300-Class,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000
Mercedes-Benz,300-Class,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000
Mercedes-Benz,300-Class,regular unleaded,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2377
Mercedes-Benz,300-Class,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3814
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,2207
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Wagon,2000
Mercedes-Benz,300-Class,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,2248
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2065
Mercedes-Benz,300-Class,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2547
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2282
Mercedes-Benz,300-Class,regular unleaded,158.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Wagon,2544
Mercedes-Benz,300-Class,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,2.0,Midsize,Coupe,2397
Mercedes-Benz,300-Class,diesel,121.0,5.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2000
Mercedes-Benz,300-Class,regular unleaded,228.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,4174
Mercedes-Benz,300-Class,regular unleaded,217.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2187
Mercedes-Benz,300-Class,diesel,148.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2729
Mercedes-Benz,300-Class,regular unleaded,177.0,6.0,AUTOMATIC,all wheel drive,4.0,Midsize,Sedan,2433
Mercedes-Benz,300-Class,regular unleaded,194.0,6.0,AUTOMATIC,rear wheel drive,4.0,Midsize,Sedan,2247
Mercedes-Benz,300-Class,regular unleaded,228.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,2540
Mitsubishi,3000GT,regular unleaded,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,3941
Mitsubishi,3000GT,regular unleaded,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,3295
Mitsubishi,3000GT,regular unleaded,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,6008
Mitsubishi,3000GT,regular unleaded,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,6710
Mitsubishi,3000GT,regular unleaded,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,3701
Mitsubishi,3000GT,regular unleaded,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,4671
Mitsubishi,3000GT,regular unleaded,218.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,5306
Mitsubishi,3000GT,regular unleaded,320.0,6.0,MANUAL,all wheel drive,2.0,Compact,2dr Hatchback,7600
Mitsubishi,3000GT,regular unleaded,161.0,6.0,MANUAL,front wheel drive,2.0,Compact,2dr Hatchback,4090
Chrysler,300,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,37570
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,31695
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,38070
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,44895
Chrysler,300,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,35070
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,42395
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,34195
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,40570
Chrysler,300,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,38095
Chrysler,300,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,35595
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,45190
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,32260
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,37755
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,41055
Chrysler,300,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,36090
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,42690
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,38555
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,35255
Chrysler,300,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,38590
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,34760
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,41135
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,45270
Chrysler,300,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,38670
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,38635
Chrysler,300,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,36170
Chrysler,300,regular unleaded,300.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,38175
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,32340
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,42770
Chrysler,300,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4.0,Large,Sedan,34840
Chrysler,300,regular unleaded,300.0,6.0,AUTOMATIC,rear wheel drive,4.0,Large,Sedan,35675
Chrysler,300M,premium unleaded (required),250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,32065
Chrysler,300M,premium unleaded (required),250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,28540
Chrysler,300M,premium unleaded (required),255.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,32315
Chrysler,300M,regular unleaded,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,28885
Chrysler,300M,regular unleaded,250.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,29185
Chrysler,300M,premium unleaded (required),255.0,6.0,AUTOMATIC,front wheel drive,4.0,Large,Sedan,32615
Nissan,300ZX,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,2847
Nissan,300ZX,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2488
Nissan,300ZX,regular unleaded,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,2dr Hatchback,2683
Nissan,300ZX,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2553
Nissan,300ZX,regular unleaded,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3049
Nissan,300ZX,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2774
Nissan,300ZX,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,2702
Nissan,300ZX,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3101
Nissan,300ZX,regular unleaded,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3510
Nissan,300ZX,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,3107
Nissan,300ZX,regular unleaded,222.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,3624
